정점명,차수,날짜,추정_개수,추정_무게_kg,위도,경도,군집
울산대왕암,4차,2023-07-31,384,2.27,35.4969464,129.4330583,0
울산대왕암,5차,2023-09-30,453,3.27,35.4969464,129.4330583,0
울산대왕암,6차,2023-11-30,358,5.51,35.4969464,129.4330583,0
포항칠포,1차,2023-01-31,371,24.9,36.1440365,129.3900131,0
포항칠포,2차,2023-03-31,273,8.64,36.1440365,129.3900131,0
포항칠포,3차,2023-05-31,279,12.03,36.1440365,129.3900131,0
포항칠포,4차,2023-07-31,326,6.22,36.1440365,129.3900131,0
포항칠포,5차,2023-09-30,385,8.95,36.1440365,129.3900131,0
포항칠포,6차,2023-11-30,304,15.07,36.1440365,129.3900131,0
울진후정,1차,2023-01-31,76,1.61,37.0629194,129.4037505,2
울진후정,2차,2023-03-31,56,0.56,37.0629194,129.4037505,2
울진후정,3차,2023-05-31,57,0.78,37.0629194,129.4037505,2
울진후정,4차,2023-07-31,67,0.4,37.0629194,129.4037505,2
울진후정,5차,2023-09-30,78,0.58,37.0629194,129.4037505,2
울진후정,6차,2023-11-30,62,0.97,37.0629194,129.4037505,2
강릉송정,1차,2023-01-31,67,1.61,37.8137117,128.87497,2
강릉송정,2차,2023-03-31,49,0.56,37.8137117,128.87497,2
강릉송정,3차,2023-05-31,50,0.78,37.8137117,128.87497,2
강릉송정,4차,2023-07-31,59,0.4,37.8137117,128.87497,2
강릉송정,5차,2023-09-30,69,0.58,37.8137117,128.87497,2
강릉송정,6차,2023-11-30,55,0.97,37.8137117,128.87497,2
속초청초,1차,2023-01-31,330,4.43,38.1951876,128.5962751,0
속초청초,2차,2023-03-31,243,1.54,38.1951876,128.5962751,0
속초청초,3차,2023-05-31,248,2.14,38.1951876,128.5962751,0
속초청초,4차,2023-07-31,291,1.11,38.1951876,128.5962751,0
속초청초,5차,2023-09-30,343,1.59,38.1951876,128.5962751,0
속초청초,6차,2023-11-30,271,2.68,38.1951876,128.5962751,0
인천백령도,1차,2023-01-31,155,25.62,37.9646004,124.7066217,2
인천백령도,2차,2023-03-31,114,8.89,37.9646004,124.7066217,2
인천백령도,3차,2023-05-31,117,12.38,37.9646004,124.7066217,2
인천백령도,4차,2023-07-31,137,6.4,37.9646004,124.7066217,2
인천백령도,5차,2023-09-30,161,9.21,37.9646004,124.7066217,2
인천백령도,6차,2023-11-30,128,15.5,37.9646004,124.7066217,2
인천영종도,1차,2023-01-31,14,0.33,37.455283,126.3793637,2
인천영종도,2차,2023-03-31,10,0.11,37.455283,126.3793637,2
인천영종도,3차,2023-05-31,11,0.16,37.455283,126.3793637,2
인천영종도,4차,2023-07-31,12,0.08,37.455283,126.3793637,2
인천영종도,5차,2023-09-30,15,0.12,37.455283,126.3793637,2
인천영종도,6차,2023-11-30,12,0.2,37.455283,126.3793637,2
인천영흥도,1차,2023-01-31,9,0.23,37.26838,126.4702202,2
인천영흥도,2차,2023-03-31,6,0.08,37.26838,126.4702202,2
인천영흥도,3차,2023-05-31,7,0.11,37.26838,126.4702202,2
인천영흥도,4차,2023-07-31,8,0.06,37.26838,126.4702202,2
인천영흥도,5차,2023-09-30,9,0.08,37.26838,126.4702202,2
인천영흥도,6차,2023-11-30,7,0.14,37.26838,126.4702202,2
태안안면도,1차,2023-01-31,479,19.71,36.4328714,126.3795894,0
태안안면도,2차,2023-03-31,352,6.84,36.4328714,126.3795894,0
태안안면도,3차,2023-05-31,360,9.52,36.4328714,126.3795894,0
태안안면도,4차,2023-07-31,421,4.92,36.4328714,126.3795894,0
태안안면도,5차,2023-09-30,497,7.08,36.4328714,126.3795894,0
태안안면도,6차,2023-11-30,393,11.93,36.4328714,126.3795894,0
