Grid_ID,Latitude,Longitude,Ship_Count,Density,어선,여객선,화물선,유조선,예인선,수상레저기구,기타선,avg_speed,avg_dir
GR3_G3E11_I,34.925,128.175,24,8.84,18,1,0,0,0,0,5,0.0,0.0
GR3_G3E12_W,34.775,128.375,24,2.22,15,3,0,0,2,0,4,0.0,0.0
GR3_F4H13_W,34.525,127.125,23,7.15,14,5,1,0,0,1,2,0.0,0.0
GR3_F4H32_Q,34.325,127.325,23,4.16,7,0,4,0,8,0,4,0.0,0.0
GR3_F4H32_R,34.325,127.375,23,2.23,8,0,3,0,9,0,3,0.0,0.0
GR3_G1N34_W,36.025,129.375,23,73.84,13,0,2,0,4,0,4,0.0,0.0
GR3_G3E12_X,34.775,128.425,23,1.29,15,0,1,0,2,0,5,0.0,0.0
GR3_F4G31_M,34.375,126.125,22,2.23,10,2,0,0,0,0,10,0.0,0.0
GR3_G3B21_B,35.975,129.575,22,0.52,19,0,0,0,0,0,3,0.0,0.0
GR3_G3B33_R,35.075,129.125,22,17.8,1,0,8,6,0,0,7,0.0,0.0
GR3_G3B34_Y,35.025,129.475,22,7.15,10,0,2,0,0,2,8,0.0,0.0
GR3_G3E21_D,34.975,128.675,22,7.22,18,0,0,0,0,0,4,0.0,0.0
GR3_G3E23_H,34.675,128.625,22,4.85,3,0,5,8,3,3,0,39.89355646630237,158.40004553734062
GR3_G3E23_I,34.675,128.675,22,3.93,10,0,2,4,1,2,3,0.0,0.0
GR3_F2O41_P,36.325,126.525,21,2.3,9,1,1,0,2,0,8,0.0,0.0
GR3_G1N12_N,36.875,129.425,21,1.28,16,0,0,0,0,0,5,0.0,0.0
GR3_G3B21_K,35.875,129.525,21,1.02,21,0,0,0,0,0,0,0.0,0.0
GR3_F2O22_H,36.925,126.875,20,4.77,0,0,0,0,6,0,14,0.0,0.0
GR3_F4H24_I,34.675,127.925,20,27.17,0,0,8,7,0,0,5,17.478483606557376,196.94558287795994
GR3_G1J31_C,37.475,129.125,20,100.0,4,1,8,0,5,0,2,0.0,0.0
GR3_F1L44_L,37.125,123.825,19,1.96,18,0,0,0,0,0,1,0.0,0.0
GR3_F4C21_C,35.975,126.625,19,34.51,1,2,4,0,3,0,9,0.0,0.0
GR3_F4H32_A,34.475,127.275,19,0.2,19,0,0,0,0,0,0,0.0,0.0
GR3_F4H33_O,34.125,127.225,19,25.52,0,0,11,8,0,0,0,28.668260473588344,174.047131147541
GR3_F4H34_K,34.125,127.275,19,27.52,0,0,13,6,0,0,0,0.0,0.0
GR3_F4H34_L,34.125,127.325,19,30.19,0,0,13,6,0,0,0,0.0,0.0
GR3_F4J41_I,33.425,125.675,19,2.49,11,0,0,0,0,0,8,0.0,0.0
GR3_F4K34_A,33.225,126.275,19,5.18,9,0,0,0,0,0,10,0.0,0.0
GR3_G3B33_J,35.175,129.225,19,1.01,13,0,0,1,0,1,4,0.0,0.0
GR3_G3B41_D,35.475,129.675,19,14.2,16,0,3,0,0,0,0,0.0,0.0
GR3_G3B42_R,35.325,129.875,19,3.41,12,0,0,0,0,0,7,0.0,0.0
GR3_G3B42_X,35.275,129.925,19,3.86,15,0,0,0,0,0,4,0.0,0.0
